club_id,domestic_competition_id,average_age,stadium_name,stadium_seats,net_transfer_record_in_euros
3060,GR1,25.9,Stadio Peristeriou,9050,0
331,ES1,28,El Sadar,23576,-6.50m
3336,PO1,24.3,Estadio CD das Aves,5441,0
3709,ES1,27.1,Coliseum,16800,-5.00m
383,NL1,24.9,Philips Stadion,35000,-3.53m
499,NL1,23.1,GelreDome,21248,+750k
610,NL1,23.1,Johan Cruijff ArenA,55600,+47.10m
6414,UKR1,24.3,OSK Metalist,38685,0
6993,UKR1,24.3,Stadion im. Volodymyra Boyko,12680,+100k
750,FR1,23,Stade Auguste-Bonal,20005,+6.30m
762,GB1,27.3,St James' Park,52338,-108.60m
825,TR1,23.9,Eskisehir Yeni Stadyum,34930,0
1041,FR1,24.9,Groupama Stadium,59186,+49.44m
10690,UKR1,23.8,Livyi Bereg Arena,4700,+1.80m
1084,ES1,27.9,La Rosaleda,30044,+950k
1148,GB1,25.2,Gtech Community Stadium,17250,-62.26m
1162,FR1,25.7,Stade Michel-d'Ornano,20500,+3.05m
1184,BE1,23.2,Cegeka Arena,24956,-7.30m
1186,RU1,25.6,Luzhniki Stadium,81000,-2.05m
128,GR1,24.3,Xanthi Arena,7361,0
1283,NL1,25.6,De Oude Meerdijk,8309,0
142,ES1,26,La Romareda,33608,+30k
16,L1,25,SIGNAL IDUNA PARK,81365,+47.85m
202,NL1,22.9,Euroborg,22555,-586k
2288,GB1,24.8,Swansea.com Stadium,21088,+8.35m
237,ES1,28.4,Mallorca Son Moix,26020,-2.30m
2381,TR1,28.7,Yeni 4 Eylul Stadi,27532,+5.02m
2423,PO1,25.4,Estadio de Sao Miguel,12500,0
2425,PO1,26.9,Estadio dos Arcos,5300,0
2451,SC1,24.5,Tulloch Caledonian Stadium,7750,0
265,GR1,28.8,Apostolos Nikolaidis,15000,-8.00m
2832,TR1,26.6,Kalyon Stadyumu,33502,-585k
3558,FR1,26.8,Stade Ange-Casanova,4050,0
4102,IT1,23.6,Sandro Cabassi,5510,0
42,L1,25,Heinz-von-Heiden-Arena,49000,-300k
641,GB1,26.1,Riverside Stadium,33746,+16.68m
667,FR1,24.6,Stade de la Meinau,26109,-27.70m
681,ES1,25.8,Reale Arena,39313,-3.60m
873,GB1,25.9,Selhurst Park,26047,-38.70m
1032,GB1,23.1,Select Car Leasing Stadium,24161,+3.06m
1039,GB1,25.9,Loftus Road Stadium,18360,+900k
1244,ES1,28.6,Butarque,12454,+1.00m
14171,FR1,27.4,Stade Camille Fournier,2500,0
16704,RU1,24.7,Stadion Krasnodar,35179,-8.08m
19771,TR1,21,Spor Toto Akhisar Stadyumu,12139,+5k
244,FR1,25.2,Orange Velodrome,67394,-37.20m
29228,BE1,24.3,Le Canonnier,10830,+40k
3216,TR1,24.3,Mersin Stadyumu,25000,0
3508,BE1,25.2,Elindus Arena,12250,+4.00m
354,BE1,24.4,AFAS Stadion,16672,-300k
367,ES1,28.8,Campo de Futbol de Vallecas,14708,-11.60m
379,GB1,28.3,London Stadium,62500,+21.00m
380,IT1,26.1,Arechi,29739,-24.09m
403,NL1,25.9,Koning Willem II Stadion,14700,+385k
40426,RU1,24.3,Petrovsky,20985,0
41,L1,23.6,Volksparkstadion,57000,-6.00m
443,DK1,25.5,Vejle Stadion,10418,0
5724,DK1,24.7,Cepheus Park Randers,10300,+950k
601,BE1,24,Guldensporenstadion,9399,+6.58m
79,L1,23.7,MHPArena Stuttgart,60449,+28.30m
86,L1,26.3,Wohninvest-Weserstadion,42100,+21.31m
931,GB1,28.1,Craven Cottage,25700,-15.87m
964,RU1,26.3,Gazprom Arena,63026,+15.77m
1123,GB1,26,Carrow Road,27244,-10.33m
1268,NL1,23.5,Bingoal Stadion,15000,0
1506,TR1,24.3,Dr. Necmettin Seyhoglu,12400,0
1531,ES1,27.3,Manuel Martinez Valero,31388,+1.00m
2282,BE1,24.6,Jan-Breydel-Stadion,29062,+28.85m
2293,TR1,26.8,Medas Konya Buyuksehir Stadyumu,42000,+1.65m
23611,UKR1,24.3,NTK im. B. M. Bannikova,1678,0
2431,PO1,27,Estadio Jose Gomes,9288,0
2698,RU1,26.8,Ak Bars Arena,45379,-8.01m
2760,SC1,27.9,The Energy Check Stadium at Firhill,10102,0
2944,TR1,23.8,Osmanli Stadi,19626,0
36,TR1,27.7,Ulker Stadyumu FB Sukru Saracoglu Spor Kompleksi,47834,-2.51m
385,NL1,25.5,Fortuna Sittard Stadion,12500,+4.50m
468,NL1,24.8,Sparta-stadion - Het Kasteel,11026,-650k
583,FR1,25.4,Parc des Princes,49691,-185.50m
621,ES1,27.3,San Mames,53289,0
65,L1,24,Sportpark Ronhof | Thomas Sommer,16626,+3.97m
6646,TR1,26.8,Ataturk Olimpiyat,74753,+2.50m
683,GR1,26.4,Stadio Georgios Karaiskakis,32115,+3.37m
723,NL1,24.4,Yanmar Stadion,4500,0
855,FR1,25.4,Stade du Roudourou,18120,+3.70m
924,TR1,25.4,Esenyurt Necmi Kadioglu Stadyumu,7500,-250k
968,BE1,24,Het Kuipje,8035,-16.04m
985,GB1,26,Old Trafford,74879,-146.96m
11282,TR1,25.6,Kirbiyik Holding Stadyumu,10128,+800k
1132,GB1,24.8,Turf Moor,21994,-107.25m
1435,NL1,24.3,De Adelaarshorst,9909,-1.19m
150,ES1,27.4,Benito Villamarin,60721,+38.50m
152,TR1,26.3,Samsun Yeni 19 Mayis Stadyumu,33919,-3.85m
172,BE1,24.6,Stade du Pays de Charleroi,15000,+850k
18303,UKR1,23.9,KSK Nika,7000,+1.22m
2410,RU1,24.8,VEB Arena,30114,+1.60m
2503,PO1,24.4,Estadio do Bessa Seculo XXI,28263,-100k
26459,UKR1,26.2,Stadion Avangard (2022),7122,-50k
2671,GR1,26,Stadio Zosimades,7652,0
2700,RU1,24.3,RDYuSSh MinObrNauki RD Politekh Makhachkala,1600,0
28095,RU1,24.4,Neftyanik,15132,+4.84m
2999,SC1,22.8,Fountain of Youth Stadium,6018,0
3368,ES1,27.5,Ciutat de Valencia,26354,+7.80m
338,UKR1,24.2,Valeriy Lobanovsky Stadion,16873,+1.20m
371,SC1,25.6,Celtic Park,60832,+9.00m
506,IT1,26.4,Allianz Stadium,41507,-23.20m
618,FR1,25.1,Stade Geoffroy-Guichard,42000,+12.85m
6992,UKR1,25,Stadion Chornomorets (2011),34164,0
820,TR1,26.1,Eryaman Stadyumu,20560,+195k
1083,RU1,24.7,Rostov Arena,45415,+1.10m
1095,FR1,23.1,Stade de l'Aube,21877,0
121,RU1,25.3,VTB-Arena,25716,+7.60m
1420,FR1,24.2,Stade Raymond Kopa,19350,+3.50m
16245,UKR1,24.3,SK Sevastopol,5826,0
22110,DK1,24.6,Helsingor Ny Stadion,4000,+320k
23826,L1,25.3,Red Bull Arena,47069,+67.20m
24245,TR1,25.8,Umraniye Belediyesi Sehir Stadi,3513,0
2687,ES1,28.7,Nuevo Mirandilla,21094,+3.50m
2696,RU1,25,Solidarnost Samara Arena,42347,-880k
2919,IT1,26.7,U-Power Stadium - Brianteo,16917,-43.50m
317,NL1,24.3,De Grolsch Veste,30205,+20.10m
3209,TR1,28.2,Pendik Stadi,2500,-4.80m
339,UKR1,24.3,Meteor,24381,0
3524,FR1,26.3,Stade Gabriel-Montpied,13000,+8.90m
398,IT1,27,Olimpico di Roma,73261,+10.44m
4171,IT1,26.7,Ciro Vigorito,16867,-1.93m
418,ES1,27.1,Santiago Bernabeu,81044,-122.50m
49702,RU1,25.4,Nizhny Novgorod Stadium,44242,+2.20m
54189,BE1,24.6,Edmond Machtensstadion,11000,-25.65m
6574,IT1,26.2,Mapei Stadium - Citta del Tricolore,21584,+39.52m
7179,PO1,22.8,Estadio Joao Cardoso,5000,+50k
720,PO1,26.6,Estadio do Dragao,50033,+34.60m
738,FR1,25.2,Stade Oceane,25178,-2.90m
89,L1,27.7,Stadion An der Alten Forsterei,22012,-28.90m
940,ES1,26.2,Abanca Balaidos,24870,+19.50m
1387,IT1,25.5,Artemio Franchi,15373,0
1390,IT1,27,Unipol Domus,16412,-8.12m
1416,FR1,24.1,Stade Credit Agricole la Licorne,12999,+700k
1467,TR1,23.3,Gursel Aksel Stadyumu,19713,+1.60m
167,L1,25.3,WWK ARENA,30660,+17.45m
232,RU1,24.8,Lukoil Arena,44571,-32.50m
2420,PO1,25.4,Estadio D. Afonso Henriques,30029,+18.26m
2424,PO1,24.5,Estadio Cidade de Barcelos,12046,+7.90m
2439,RU1,24.3,Kuban Stadium,31654,0
2703,RU1,24.3,Republican Stadium Spartak,32464,0
289,GB1,23.5,Stadium of Light,48707,-6.06m
2921,IT1,24.6,Adriatico,20476,+4.60m
3,L1,25.1,RheinEnergieSTADION,50000,+200k
3719,RU1,24.7,Arena Khimki,18636,-595k
3729,RU1,27.4,Arsenal,19241,+1.80m
3840,TR1,26,Yeni Adana Stadyumu,33000,+750k
430,IT1,25.1,Artemio Franchi,43147,+17.52m
4482,UKR1,24.3,Stadion Avangard,12080,0
48726,UKR1,23.2,Arena Lviv,34725,0
5,IT1,26,Giuseppe Meazza,75923,-50.40m
512,GB1,26.7,bet365 Stadium,30089,+17.00m
5818,DK1,24.8,DS Arena,7500,0
60949,GR1,25.9,Panthessaliko Stadio,22700,0
678,DK1,24.5,Ceres Park,19433,+11.66m
7775,TR1,24.4,Mersin Stadyumu,25000,+7.19m
826,FR1,25.7,Stade Bollaert-Delelis,38223,+3.64m
8838,UKR1,27.4,Zirka,14628,0
897,ES1,27.7,Abanca Riazor,32912,-435k
987,SC1,26.4,Fir Park,13750,+586k
1063,DK1,23.2,Viborg Stadion,10000,+6.49m
1085,PO1,26,Estadio do Bonfim,18642,0
11,GB1,25.3,Emirates Stadium,60704,-167.04m
126,TR1,23.8,Caykur Didi,15332,-3.41m
1627,IT1,26,Cibali - Angelo Massimino,20204,-101k
16795,ES1,27.5,Nuevo Los Carmenes,19336,-9.20m
204,BE1,24.3,Herman Vanderpoortenstadion,14538,0
2227,UKR1,24.3,RS Lokomotiv,19978,0
2239,IT1,25.4,Giovanni Zini,16003,+5.00m
252,IT1,26.2,Luigi Ferraris,34901,+2.88m
281,GB1,26.8,Etihad Stadium,55017,-136.80m
3302,ES1,25,Power Horse Stadium,18331,-7.80m
39,L1,26.6,Mewa Arena,33305,+14.55m
3999,GR1,28.2,"Stadio Lamia ""Athanasios Diakos""",5500,0
405,GB1,26.9,Villa Park,42682,-67.95m
441,GR1,27.3,Stadio Neas Smyrnis,11700,0
5219,GR1,28.1,Ethniko Stadio Kerkyras,3000,0
543,GB1,25.9,Molineux Stadium,32050,+75.20m
60,L1,26.1,Europa-Park Stadion,34700,+34.30m
61825,UKR1,24.4,Minaj-Arena,1312,+240k
63007,UKR1,26.8,Cherkasy-Arena,10321,-550k
660,UKR1,23.6,Arena Lviv,34725,-26.05m
6894,TR1,24.3,Kayseri Ataturk Spor Kompleksi Yan Acik Saha,2000,0
6912,PO1,24.8,Estadio do Vizela,6565,+1.80m
714,ES1,25.4,RCDE Stadium,40500,+5.50m
798,NL1,23.3,Van Donge & De Roo Stadion - Woudestein,4400,+175k
